コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
YP_JlVbIDuY,プレミア開幕！というわけでシーズン予想【マンチェスターユナイテッド】,"Aug 13, 2025",846,,,,,0,,,,,,,46,0
Y_vNr6p1wiI,【マンチェスターユナイテッド】対バーンリー戦感想,"Sep 23, 2023",60,,,,,0,,,,,,,3,0
Yzxq1d3CRD8,【マンチェスターユナイテッド】アモリム下でガルナチョの起用法悩むよな,"Nov 21, 2024",684,,,,,0,,,,,,,2,0
ZKcbL_Ws5aI,これが新FWラインですかね。あ、あと歯医者行ってきたよ【マンチェスターユナイテッド】,"Aug 11, 2025",26594,,,,,0,,,,,,,8,0
ZSv_7zSpMTc,テンハグ解任されましたね。反応,"Oct 28, 2024",145,,,,,0,,,,,,,2,0
Zg5Tv0YCPWw,【マンチェスターユナイテッド】ヨロユナイテッド加入！パート1,"Jul 18, 2024",398,,,,,0,,,,,,,8,0
_v6btSiDaYo,【マンチェスターユナイテッド】プレシーズン同時試聴,,22277,,,,,0,,,,,,,1,0
_y0oT0Driik,マンチェスターユナイテッド vs ウルブス　感想！,"Feb 1, 2024",56,,,,,0,,,,,,,25,0
a0wes4JxA8A,コビーメイヌー、いや多分売られないと思いますよ【マンチェスターユナイテッド】,"Mar 21, 2025",564,,,,,0,,,,,,,9,0
aHgz8ox3Flo,かつて天才と呼ばれた男、ジェイドン・サンチョの惨劇【マンチェスターユナイテッド】,"Mar 28, 2025",441,,,,,0,,,,,,,6,0
aIz2BFL3a0E,ラッシュフォードの問題点,"Sep 17, 2023",49,,,,,0,,,,,,,1,0
